LEJE977267MYXWAK6H,Rodrigo,Guerrero,Ríos,M,15345.92,1978-07-15,Chiapas
KXTB811656MROMAEV0,Diana,Pacheco,Serrano,M,15182.72,1975-10-02,Colima
BWXJ116135HYMVBF84,Rodrigo,Laguna,Vega,F,6449.91,1993-01-28,Chihuahua
OMIA600889MZVYDT6H,Alonso,Suárez,Santana,M,13912.74,2003-02-05,Aguascalientes
SCRH822413MWVGRCDU,Sofía,León,Molina,M,8985.24,1984-03-28,San Luis Potosí
QSJD393594HYJTLA77,Alejandro,Guerrero,Vega,M,6247.74,1984-08-04,Estado de México
HKZM651712HKFZAA9M,Héctor,Cuevas,Alonso,M,16210.23,1981-12-13,Hidalgo
DWCY250421MIMCZMMS,Carlos,Alonso,Ramírez,F,16420.81,1995-06-15,Michoacán
SOON839501HWOWZZVE,Ricardo,Zavala,Cabrera,F,6571.17,2004-11-09,Aguascalientes
QGON060592MOJJEHAU,Lorena,Juárez,Ramos,M,6640.66,1997-04-15,Ciudad de México
IWUK461936MYLMLMWY,Alonso,Chávez,Villalobos,F,14819.2,2000-01-20,Ciudad de México
CWQI454108HOMBJM47,Carmen,Orozco,Delgado,M,9073.42,1990-10-11,Tlaxcala
YOZF258085MDCWIGK8,Camila,Guerra,Fajardo,M,10047.19,1992-06-21,Nayarit
NNII903993MDHTMA94,Francisco,Soto,Cervantes,F,12719.8,1996-06-25,Puebla
AQNG250420MXQTWLBY,Elena,Bustamante,González,F,11987.51,2004-03-18,Guanajuato
KWLM286497HXHQMO2K,Sara,Alonso,Peña,F,13179.22,1971-01-03,Nuevo León
JBQB064267HQRBAFSF,Isabella,Alonso,Salazar,F,16657.55,2003-07-27,San Luis Potosí
POHR223161MHZWFUC4,Silvia,Gómez,Alonso,F,19946.32,1965-08-27,Baja California
JPBX287264MWKIZY06,Verónica,Valdez,Peña,M,10152.98,1998-06-04,Baja California
EFAZ699989MGZEBDH5,Marisol,Aguirre,Tovar,M,12474.4,1984-10-09,Morelos
TSPE781607HVRNUL03,Gabriela,Cruz,Estrada,F,11333.53,1966-04-13,Puebla
MUIL186795HHMYEW4N,Juan,Mata,Zamora,F,12412.27,1974-10-12,Chiapas
FLJI437881HEMDTG1Y,Ana,Acosta,Bermúdez,F,11057.22,1970-07-12,Chiapas
SPQN484032HMNOGK45,Alonso,Álvarez,Mendoza,M,17202.06,1989-06-26,Nuevo León
MPKY789215HJXGUA6U,Carlos,Leyva,Alonso,F,16170.64,1976-12-23,Tlaxcala
SJGW656768MNZFXOA7,Natalia,Zamora,Uribe,F,11023.14,1970-01-16,Colima
