1,LEJE977267MYXWAK6H,05:02,12:02,2022-03-04,M
2,KXTB811656MROMAEV0,05:09,12:03,2023-05-06,M
3,BWXJ116135HYMVBF84,05:08,12:02,2022-06-17,M
4,OMIA600889MZVYDT6H,05:00,12:00,2022-01-30,M
5,SCRH822413MWVGRCDU,05:06,12:06,2022-01-16,M
6,QSJD393594HYJTLA77,05:02,12:00,2022-12-04,M
7,HKZM651712HKFZAA9M,05:06,12:00,2022-12-14,M
8,DWCY250421MIMCZMMS,05:00,12:03,2022-12-25,M
9,SOON839501HWOWZZVE,05:02,12:10,2023-01-31,M
10,QGON060592MOJJEHAU,05:05,12:04,2022-04-09,M
11,IWUK461936MYLMLMWY,05:07,12:00,2022-02-13,M
12,CWQI454108HOMBJM47,05:03,12:09,2023-05-30,M
13,YOZF258085MDCWIGK8,05:09,12:00,2023-04-27,M
14,NNII903993MDHTMA94,05:08,12:02,2022-07-29,M
15,AQNG250420MXQTWLBY,05:07,12:05,2022-10-11,M
16,KWLM286497HXHQMO2K,05:00,12:09,2023-01-03,M
17,JBQB064267HQRBAFSF,05:01,12:01,2022-02-07,M
18,POHR223161MHZWFUC4,05:01,12:06,2022-01-04,M
19,JPBX287264MWKIZY06,05:00,12:07,2022-06-11,M
20,EFAZ699989MGZEBDH5,05:04,12:07,2022-06-13,M
21,TSPE781607HVRNUL03,05:02,12:04,2022-07-23,M
22,MUIL186795HHMYEW4N,05:04,12:07,2022-09-12,M
23,FLJI437881HEMDTG1Y,05:07,12:00,2022-12-20,M
24,SPQN484032HMNOGK45,05:08,12:04,2022-02-28,M
25,MPKY789215HJXGUA6U,05:03,12:01,2022-11-29,M
26,SJGW656768MNZFXOA7,05:00,12:05,2023-02-17,M
27,INBN985936HCWFAS4H,05:09,12:03,2022-06-02,M
28,QSYR470338HZBFJC27,05:06,12:09,2022-02-10,M
29,DKEJ676175MEDJXFI8,05:01,12:04,2022-12-11,M
30,ABUK933427MPFQETIQ,05:03,12:02,2022-08-16,M
31,DHOC287533HRHJRGM2,05:03,12:01,2023-03-30,M
32,MGWR311811MRIHIT9J,05:09,12:01,2022-01-21,M
33,DVXP614382MJPLIK42,05:03,12:04,2023-01-07,M
34,TQNH770178MDARKVVB,05:06,12:00,2022-07-06,M
35,ZZFP468981MZLDADL8,05:00,12:07,2022-09-06,M
36,NBOR245184HOOOBT82,05:09,12:04,2022-01-11,M
37,KXKW034140HVZLWM79,05:02,12:05,2023-01-18,M
38,XVGW500426MBKQVXY7,05:04,12:09,2022-04-07,M
39,WGZT866322HKIRUG12,05:04,12:07,2022-12-24,M
40,UWXN752279MZCLQJZA,05:07,12:07,2022-01-14,M
41,INAG097420MXTZJN05,05:02,12:01,2023-04-11,M
42,ISRO324060MBLYMA11,05:06,12:06,2023-05-18,M
43,KKJW139814MMXFXO5N,05:04,12:06,2022-07-22,M
44,SFNA174315HFLZHZ65,05:05,12:09,2022-09-30,M
45,RSGM452820HATKMZL8,05:01,12:02,2023-03-25,M
46,ROMP647766HSQCFO21,05:01,12:07,2023-04-05,M
47,WKWW907026MSEOTEMG,05:01,12:02,2023-03-03,M
48,LJBW736822HIHDVSJ9,05:01,12:02,2022-06-12,M
49,VPUU968161MYBNWQ4K,05:06,12:02,2022-04-03,M
50,QFJH387243HJKKVPTT,05:07,12:07,2022-06-23,M
51,MOQA756513HPUWSBK0,05:09,12:07,2022-03-21,M
52,MLHD660781MBGOCZN1,05:05,12:09,2022-12-27,M
53,NBXV316226MRVYDW2Y,05:04,12:00,2022-06-13,M
54,ZGQS166817MKURJDQU,05:04,12:01,2023-01-13,M
55,NNIR244780MOIDYFU0,05:04,12:06,2023-04-03,M
56,OJII157710HPRDMWJ5,05:01,12:05,2023-02-27,M
57,JNEQ154017MUYNFO4C,05:02,12:03,2022-03-30,M
58,HDWA255002HPWWOD74,05:05,12:03,2022-07-30,M
59,MPIK349041HCQMZK7F,05:08,12:07,2022-07-02,M
60,VFDB467020MQTNSY4K,05:02,12:01,2022-02-23,M
61,CHMU622570MDUDCS7G,05:04,12:05,2022-02-27,M
62,EVVA517360HUJUIT42,05:02,12:03,2022-04-30,M
63,TPAL444081MCSDTD12,05:08,12:09,2022-05-03,M
64,TZYE997185MSBYNRK7,05:00,12:07,2022-12-27,M
65,ZZZN656958HQAABY7Y,05:08,12:00,2022-05-25,M
66,AWJK286566MKZUIAQB,05:06,12:07,2023-05-20,M
67,YIWL930246MPTMGDIC,05:04,12:03,2022-11-22,M
68,YOHW782465MFCXTQ9I,05:01,12:06,2022-03-30,M
69,JJMI016641HFMNGK6W,05:04,12:02,2022-06-20,M
70,QBBV954552MZVRJM86,05:00,12:05,2022-04-03,M
71,JIGG510329MNSLUO38,05:06,12:02,2022-10-17,M
72,OLTR777654MBNLCPUD,05:09,12:06,2023-03-12,M
73,QZEI957569MWELUUNR,05:07,12:08,2022-10-28,M
74,GPUZ462624MCIORO95,05:05,12:09,2023-02-24,M
75,DEAW501234MXKPBRYL,05:00,12:04,2022-06-02,M
76,GSRN382109MEGBQH9T,05:00,12:04,2022-03-07,M
77,PMNI426577MZIGVFZF,05:07,12:07,2022-03-04,M
78,DZAL124225MOPZFAT5,05:04,12:04,2023-05-30,M
79,ETVN203117HNZNSIUH,05:01,12:06,2022-12-12,M
80,XRRT339737MSPDKG63,05:04,12:02,2022-03-15,M
81,ETGY065274MNLFDQBB,05:02,12:06,2022-06-09,M
82,BURW965859MXPUQM61,05:07,12:00,2023-04-26,M
83,KQBH028360HGRLRB0Y,05:06,12:07,2022-10-12,M
84,CMNZ237033HUHQUP93,05:04,12:00,2022-01-07,M
85,AEWA581155MLCYCNY6,05:04,12:06,2023-01-08,M
86,JWPL404550MBNUQSRI,05:02,12:01,2022-11-10,M
87,DKLN431945HHBWQV27,05:02,12:04,2022-11-02,M
88,NPNV750369MSDQRU80,05:08,12:08,2022-04-20,M
89,ITMD646829HKZTUG7D,05:08,12:03,2022-11-25,M
90,QTYS337927MTCYTB7D,05:06,12:07,2023-04-10,M
